Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Create DTOs: Call,Task,Psitrix Psynq,Feature: Call Control,Normal,New,2026-02-14,2026-02-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/dto/create-call.dto.ts`
**File:** `packages/backend/src/modules/calls/dto/update-call.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Call'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: CallService,Task,Psitrix Psynq,Feature: Call Control,High,New,2026-02-15,2026-02-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/call.service.ts`
**Class:** `CallService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: CallService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: CallController,Task,Psitrix Psynq,Feature: Call Control,High,New,2026-02-16,2026-02-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/call.controller.ts`
**Class:** `CallController`
**Endpoints:**
- `POST /api/v1/calls`
- `GET /api/v1/calls`
- `GET /api/v1/calls/:id`
- `PATCH /api/v1/calls/:id`
- `DELETE /api/v1/calls/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: CallController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: CallService,Task,Psitrix Psynq,Feature: Call Control,Normal,New,2026-02-17,2026-02-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/call.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: CallService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Call,Task,Psitrix Psynq,Feature: Call Control,Normal,New,2026-02-18,2026-02-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/call.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Call'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Call,Task,Psitrix Psynq,Feature: Call Control,Low,New,2026-02-15,2026-02-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/calls/call.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Call'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: Call,Task,Psitrix Psynq,Feature: Call Control,High,New,2026-02-14,2026-02-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateCallTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Call'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Call,Task,Psitrix Psynq,Feature: Call Control,Low,New,2026-02-16,2026-02-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/call.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Call'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Channel Management,Feature,Psitrix Psynq,Epic: Asterisk ARI Integration,High,New,2026-02-14,2026-03-01,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Channel Tracking,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Channel Management'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Channel,Task,Psitrix Psynq,Feature: Channel Management,High,New,2026-02-14,2026-02-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/entities/channel.entity.ts`
**Class:** `Channel`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Channel'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Channel,Task,Psitrix Psynq,Feature: Channel Management,Normal,New,2026-02-14,2026-02-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/dto/create-channel.dto.ts`
**File:** `packages/backend/src/modules/channels/dto/update-channel.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Channel'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: ChannelService,Task,Psitrix Psynq,Feature: Channel Management,High,New,2026-02-15,2026-02-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/channel.service.ts`
**Class:** `ChannelService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: ChannelService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: ChannelController,Task,Psitrix Psynq,Feature: Channel Management,High,New,2026-02-16,2026-02-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/channel.controller.ts`
**Class:** `ChannelController`
**Endpoints:**
- `POST /api/v1/channels`
- `GET /api/v1/channels`
- `GET /api/v1/channels/:id`
- `PATCH /api/v1/channels/:id`
- `DELETE /api/v1/channels/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: ChannelController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: ChannelService,Task,Psitrix Psynq,Feature: Channel Management,Normal,New,2026-02-17,2026-02-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/channel.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: ChannelService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Channel,Task,Psitrix Psynq,Feature: Channel Management,Normal,New,2026-02-18,2026-02-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/channel.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Channel'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Channel,Task,Psitrix Psynq,Feature: Channel Management,Low,New,2026-02-15,2026-02-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/channels/channel.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Channel'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: Channel,Task,Psitrix Psynq,Feature: Channel Management,High,New,2026-02-14,2026-02-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateChannelTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Channel'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Channel,Task,Psitrix Psynq,Feature: Channel Management,Low,New,2026-02-16,2026-02-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/channel.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Channel'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Bridge Management,Feature,Psitrix Psynq,Epic: Asterisk ARI Integration,High,New,2026-02-19,2026-03-06,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Conferencing/Bridging,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Bridge Management'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Bridge,Task,Psitrix Psynq,Feature: Bridge Management,High,New,2026-02-19,2026-02-21,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/bridges/entities/bridge.entity.ts`
**Class:** `Bridge`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Bridge'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
